time,temperature_2m (°F),relative_humidity_2m (%),dew_point_2m (°F),apparent_temperature (°F),precipitation (inch),rain (inch),snowfall (inch),snow_depth (ft),weather_code (wmo code),cloud_cover (%)
2022-08-31T00:00,63.7,68,53.1,62.0,0.000,0.000,0.000,0.000,0,0
2022-08-31T01:00,62.6,70,52.6,61.0,0.000,0.000,0.000,0.000,0,0
2022-08-31T02:00,61.7,71,52.4,60.0,0.000,0.000,0.000,0.000,0,0
2022-08-31T03:00,61.0,72,52.1,59.1,0.000,0.000,0.000,0.000,0,0
2022-08-31T04:00,60.7,72,51.7,58.3,0.000,0.000,0.000,0.000,0,0
2022-08-31T05:00,60.5,72,51.5,58.0,0.000,0.000,0.000,0.000,0,0
2022-08-31T06:00,61.1,76,53.5,59.0,0.000,0.000,0.000,0.000,0,0
2022-08-31T07:00,64.3,75,56.1,63.5,0.000,0.000,0.000,0.000,0,3
2022-08-31T08:00,68.6,69,57.9,68.8,0.000,0.000,0.000,0.000,0,0
2022-08-31T09:00,73.0,62,59.2,73.7,0.000,0.000,0.000,0.000,0,0
2022-08-31T10:00,76.6,55,59.2,78.2,0.000,0.000,0.000,0.000,0,0
2022-08-31T11:00,78.9,50,58.5,80.5,0.000,0.000,0.000,0.000,0,0
2022-08-31T12:00,80.8,47,58.7,81.7,0.000,0.000,0.000,0.000,2,51
2022-08-31T13:00,81.6,45,58.2,81.1,0.000,0.000,0.000,0.000,1,49
2022-08-31T14:00,82.7,43,58.1,82.7,0.000,0.000,0.000,0.000,0,4
2022-08-31T15:00,82.9,43,58.0,82.8,0.000,0.000,0.000,0.000,0,8
2022-08-31T16:00,82.6,43,57.6,82.3,0.000,0.000,0.000,0.000,0,15
2022-08-31T17:00,80.9,49,60.0,82.7,0.000,0.000,0.000,0.000,0,18
2022-08-31T18:00,77.4,61,62.7,79.5,0.000,0.000,0.000,0.000,0,5
2022-08-31T19:00,73.7,68,62.6,76.0,0.000,0.000,0.000,0.000,0,0
2022-08-31T20:00,72.6,71,62.5,74.1,0.000,0.000,0.000,0.000,0,0
2022-08-31T21:00,72.4,70,62.2,73.4,0.000,0.000,0.000,0.000,0,0
2022-08-31T22:00,71.2,73,61.9,72.5,0.000,0.000,0.000,0.000,0,0
2022-08-31T23:00,69.9,75,61.8,71.4,0.000,0.000,0.000,0.000,0,1
2022-09-01T00:00,69.1,78,61.8,70.5,0.000,0.000,0.000,0.000,0,0
2022-09-01T01:00,68.4,80,61.8,69.8,0.000,0.000,0.000,0.000,0,0
2022-09-01T02:00,67.6,81,61.6,68.9,0.000,0.000,0.000,0.000,0,0
2022-09-01T03:00,66.8,83,61.4,68.3,0.000,0.000,0.000,0.000,0,0
2022-09-01T04:00,65.9,85,61.2,67.2,0.000,0.000,0.000,0.000,0,0
2022-09-01T05:00,65.1,87,61.0,66.6,0.000,0.000,0.000,0.000,0,0
2022-09-01T06:00,65.7,86,61.6,67.6,0.000,0.000,0.000,0.000,0,0
2022-09-01T07:00,69.2,81,63.3,72.1,0.000,0.000,0.000,0.000,0,0
2022-09-01T08:00,73.6,73,64.3,77.3,0.000,0.000,0.000,0.000,0,0
2022-09-01T09:00,77.5,65,64.9,81.2,0.000,0.000,0.000,0.000,0,0
2022-09-01T10:00,80.7,59,64.9,85.1,0.000,0.000,0.000,0.000,2,52
2022-09-01T11:00,82.9,53,63.9,87.1,0.000,0.000,0.000,0.000,3,100
2022-09-01T12:00,84.1,48,62.5,87.8,0.000,0.000,0.000,0.000,2,77
2022-09-01T13:00,84.8,47,62.4,87.6,0.000,0.000,0.000,0.000,1,34
2022-09-01T14:00,85.2,46,61.8,87.6,0.000,0.000,0.000,0.000,2,66
2022-09-01T15:00,85.0,45,61.6,86.3,0.000,0.000,0.000,0.000,3,100
2022-09-01T16:00,84.0,47,61.5,84.6,0.000,0.000,0.000,0.000,3,91
2022-09-01T17:00,82.2,51,62.4,84.0,0.000,0.000,0.000,0.000,3,100
2022-09-01T18:00,78.5,63,64.6,81.4,0.000,0.000,0.000,0.000,3,100
2022-09-01T19:00,75.9,68,64.4,78.9,0.000,0.000,0.000,0.000,3,100
2022-09-01T20:00,74.7,70,64.4,77.5,0.000,0.000,0.000,0.000,3,100
2022-09-01T21:00,73.9,71,64.1,76.3,0.000,0.000,0.000,0.000,3,100
2022-09-01T22:00,73.6,72,64.0,75.9,0.000,0.000,0.000,0.000,3,100
2022-09-01T23:00,73.0,74,64.2,75.4,0.000,0.000,0.000,0.000,3,100
2022-09-02T00:00,72.5,75,64.3,75.1,0.000,0.000,0.000,0.000,3,100
2022-09-02T01:00,71.3,79,64.3,74.4,0.000,0.000,0.000,0.000,3,100
2022-09-02T02:00,71.1,79,64.2,73.3,0.000,0.000,0.000,0.000,3,100
2022-09-02T03:00,70.8,78,63.7,72.8,0.000,0.000,0.000,0.000,3,100
2022-09-02T04:00,69.8,80,63.3,71.8,0.000,0.000,0.000,0.000,3,100
2022-09-02T05:00,68.8,82,63.0,71.2,0.000,0.000,0.000,0.000,3,100
2022-09-02T06:00,69.0,85,64.2,71.7,0.000,0.000,0.000,0.000,3,100
2022-09-02T07:00,70.9,82,65.0,74.1,0.000,0.000,0.000,0.000,3,100
2022-09-02T08:00,74.0,74,65.2,76.9,0.000,0.000,0.000,0.000,3,100
2022-09-02T09:00,77.0,67,65.2,79.8,0.000,0.000,0.000,0.000,3,100
2022-09-02T10:00,79.6,58,63.8,81.1,0.000,0.000,0.000,0.000,3,100
2022-09-02T11:00,82.0,53,63.1,83.8,0.000,0.000,0.000,0.000,3,96
2022-09-02T12:00,83.3,49,62.3,85.2,0.000,0.000,0.000,0.000,3,100
2022-09-02T13:00,84.0,47,61.3,84.4,0.000,0.000,0.000,0.000,3,100
2022-09-02T14:00,84.2,46,61.3,84.2,0.000,0.000,0.000,0.000,3,98
2022-09-02T15:00,83.8,45,60.3,82.8,0.000,0.000,0.000,0.000,2,76
2022-09-02T16:00,83.0,46,60.2,82.4,0.000,0.000,0.000,0.000,2,67
2022-09-02T17:00,82.0,49,60.9,82.9,0.000,0.000,0.000,0.000,1,33
2022-09-02T18:00,78.0,62,64.2,80.7,0.000,0.000,0.000,0.000,1,31
2022-09-02T19:00,74.2,72,64.5,77.9,0.000,0.000,0.000,0.000,1,35
2022-09-02T20:00,71.6,79,64.8,75.5,0.000,0.000,0.000,0.000,1,23
2022-09-02T21:00,70.2,83,64.7,73.8,0.000,0.000,0.000,0.000,1,45
2022-09-02T22:00,69.3,84,64.3,72.4,0.000,0.000,0.000,0.000,2,57
2022-09-02T23:00,68.7,85,64.0,71.6,0.000,0.000,0.000,0.000,2,56
2022-09-03T00:00,68.6,83,63.3,70.4,0.000,0.000,0.000,0.000,1,41
2022-09-03T01:00,68.4,83,62.9,70.3,0.000,0.000,0.000,0.000,2,69
2022-09-03T02:00,67.9,84,63.0,69.9,0.000,0.000,0.000,0.000,3,85
2022-09-03T03:00,68.0,85,63.3,69.7,0.000,0.000,0.000,0.000,3,93
2022-09-03T04:00,68.4,85,63.6,69.9,0.000,0.000,0.000,0.000,3,100
2022-09-03T05:00,68.5,86,64.0,70.7,0.000,0.000,0.000,0.000,2,68
2022-09-03T06:00,69.9,80,63.4,70.2,0.000,0.000,0.000,0.000,1,33
2022-09-03T07:00,71.6,78,64.5,74.3,0.008,0.008,0.000,0.000,51,26
2022-09-03T08:00,73.1,75,64.5,76.3,0.004,0.004,0.000,0.000,51,47
2022-09-03T09:00,76.6,70,66.1,81.6,0.000,0.000,0.000,0.000,1,39
2022-09-03T10:00,80.4,66,68.0,87.0,0.000,0.000,0.000,0.000,0,4
2022-09-03T11:00,83.1,62,68.6,91.5,0.000,0.000,0.000,0.000,0,11
2022-09-03T12:00,84.7,59,68.8,93.7,0.000,0.000,0.000,0.000,2,62
2022-09-03T13:00,85.0,57,67.9,92.3,0.000,0.000,0.000,0.000,3,100
2022-09-03T14:00,82.1,61,67.5,87.6,0.000,0.000,0.000,0.000,3,100
2022-09-03T15:00,80.6,68,69.3,86.3,0.035,0.035,0.000,0.000,53,83
2022-09-03T16:00,78.7,69,67.7,82.0,0.008,0.008,0.000,0.000,51,92
2022-09-03T17:00,74.2,82,68.3,76.8,0.000,0.000,0.000,0.000,2,71
2022-09-03T18:00,70.1,94,68.3,73.4,0.000,0.000,0.000,0.000,3,99
2022-09-03T19:00,68.0,94,66.2,69.8,0.000,0.000,0.000,0.000,3,100
2022-09-03T20:00,66.9,92,64.3,67.7,0.000,0.000,0.000,0.000,3,100
2022-09-03T21:00,65.8,89,62.4,66.0,0.000,0.000,0.000,0.000,3,97
2022-09-03T22:00,64.5,90,61.4,64.8,0.000,0.000,0.000,0.000,3,100
2022-09-03T23:00,63.8,91,61.0,64.3,0.000,0.000,0.000,0.000,3,100
2022-09-04T00:00,63.4,91,60.8,63.2,0.000,0.000,0.000,0.000,3,100
2022-09-04T01:00,63.2,92,60.8,63.1,0.000,0.000,0.000,0.000,3,100
2022-09-04T02:00,64.1,91,61.3,63.8,0.000,0.000,0.000,0.000,3,100
2022-09-04T03:00,64.7,90,61.8,65.1,0.000,0.000,0.000,0.000,3,100
2022-09-04T04:00,65.7,90,62.5,66.5,0.000,0.000,0.000,0.000,3,100
2022-09-04T05:00,66.1,90,63.0,67.2,0.000,0.000,0.000,0.000,3,100
2022-09-04T06:00,66.7,88,63.0,67.2,0.000,0.000,0.000,0.000,3,100
2022-09-04T07:00,66.9,90,63.9,68.5,0.008,0.008,0.000,0.000,51,100
2022-09-04T08:00,67.8,93,65.8,70.2,0.047,0.047,0.000,0.000,55,100
2022-09-04T09:00,70.2,89,67.0,72.9,0.012,0.012,0.000,0.000,51,100
2022-09-04T10:00,69.3,92,66.9,71.5,0.043,0.043,0.000,0.000,55,100
2022-09-04T11:00,71.0,87,67.0,73.2,0.016,0.016,0.000,0.000,51,100
2022-09-04T12:00,72.1,83,66.6,74.2,0.008,0.008,0.000,0.000,51,100
2022-09-04T13:00,73.3,79,66.4,74.9,0.004,0.004,0.000,0.000,51,100
2022-09-04T14:00,72.8,77,65.2,73.4,0.004,0.004,0.000,0.000,51,100
2022-09-04T15:00,71.1,79,64.3,71.5,0.004,0.004,0.000,0.000,51,100
2022-09-04T16:00,69.2,82,63.5,69.1,0.000,0.000,0.000,0.000,3,100
2022-09-04T17:00,68.1,83,62.6,67.8,0.000,0.000,0.000,0.000,3,100
2022-09-04T18:00,66.4,89,63.2,67.0,0.000,0.000,0.000,0.000,3,100
2022-09-04T19:00,66.4,89,63.1,67.5,0.000,0.000,0.000,0.000,3,100
2022-09-04T20:00,66.1,90,63.0,67.0,0.000,0.000,0.000,0.000,3,100
2022-09-04T21:00,66.0,90,63.1,66.7,0.000,0.000,0.000,0.000,3,100
2022-09-04T22:00,66.0,91,63.2,67.3,0.000,0.000,0.000,0.000,3,98
2022-09-04T23:00,66.1,91,63.3,67.7,0.000,0.000,0.000,0.000,3,100
2022-09-05T00:00,66.1,90,63.2,67.7,0.000,0.000,0.000,0.000,3,100
2022-09-05T01:00,65.5,91,62.9,67.1,0.000,0.000,0.000,0.000,3,100
2022-09-05T02:00,65.3,91,62.5,66.9,0.000,0.000,0.000,0.000,3,100
2022-09-05T03:00,65.2,90,62.1,66.6,0.000,0.000,0.000,0.000,3,100
2022-09-05T04:00,64.8,90,61.7,66.2,0.000,0.000,0.000,0.000,3,100
2022-09-05T05:00,64.5,90,61.5,65.8,0.000,0.000,0.000,0.000,3,100
2022-09-05T06:00,65.3,90,62.5,66.6,0.000,0.000,0.000,0.000,3,100
2022-09-05T07:00,66.1,88,62.5,67.1,0.000,0.000,0.000,0.000,3,100
2022-09-05T08:00,67.7,83,62.3,68.1,0.000,0.000,0.000,0.000,3,100
2022-09-05T09:00,68.4,82,62.5,68.9,0.004,0.004,0.000,0.000,51,100
2022-09-05T10:00,69.2,80,62.9,69.9,0.004,0.004,0.000,0.000,51,100
2022-09-05T11:00,69.5,80,63.1,70.1,0.004,0.004,0.000,0.000,51,100
2022-09-05T12:00,69.7,79,63.0,70.3,0.004,0.004,0.000,0.000,51,100
2022-09-05T13:00,70.0,78,62.8,70.5,0.000,0.000,0.000,0.000,3,100
2022-09-05T14:00,70.4,76,62.5,70.4,0.000,0.000,0.000,0.000,3,100
2022-09-05T15:00,69.9,76,62.2,70.2,0.000,0.000,0.000,0.000,3,100
2022-09-05T16:00,69.7,76,61.8,70.1,0.000,0.000,0.000,0.000,3,100
2022-09-05T17:00,69.2,77,61.6,69.8,0.000,0.000,0.000,0.000,0,18
2022-09-05T18:00,67.4,84,62.4,68.8,0.000,0.000,0.000,0.000,0,9
2022-09-05T19:00,66.9,86,62.6,69.0,0.000,0.000,0.000,0.000,3,100
2022-09-05T20:00,66.4,88,62.6,68.6,0.000,0.000,0.000,0.000,3,100
2022-09-05T21:00,66.3,88,62.7,68.3,0.000,0.000,0.000,0.000,3,100
2022-09-05T22:00,66.2,88,62.6,68.0,0.000,0.000,0.000,0.000,3,100
2022-09-05T23:00,66.3,88,62.6,68.1,0.000,0.000,0.000,0.000,3,100
2022-09-06T00:00,66.2,89,62.8,68.3,0.000,0.000,0.000,0.000,3,100
2022-09-06T01:00,65.6,91,63.0,68.1,0.000,0.000,0.000,0.000,3,100
2022-09-06T02:00,65.5,92,63.3,68.0,0.000,0.000,0.000,0.000,3,100
2022-09-06T03:00,65.7,92,63.4,68.0,0.000,0.000,0.000,0.000,3,100
2022-09-06T04:00,65.8,93,63.7,68.5,0.000,0.000,0.000,0.000,3,84
2022-09-06T05:00,65.8,94,64.0,68.8,0.000,0.000,0.000,0.000,3,100
2022-09-06T06:00,65.4,95,64.0,68.3,0.000,0.000,0.000,0.000,3,100
2022-09-06T07:00,66.5,93,64.3,70.2,0.016,0.016,0.000,0.000,51,80
2022-09-06T08:00,67.6,93,65.3,71.3,0.028,0.028,0.000,0.000,53,73
2022-09-06T09:00,68.6,92,66.1,72.5,0.008,0.008,0.000,0.000,51,100
2022-09-06T10:00,70.9,87,67.0,75.4,0.004,0.004,0.000,0.000,51,100
2022-09-06T11:00,73.8,78,66.6,78.6,0.004,0.004,0.000,0.000,51,13
2022-09-06T12:00,74.8,73,65.4,79.2,0.004,0.004,0.000,0.000,51,18
2022-09-06T13:00,76.4,65,64.0,81.3,0.000,0.000,0.000,0.000,0,17
2022-09-06T14:00,76.2,63,62.8,78.9,0.004,0.004,0.000,0.000,51,34
2022-09-06T15:00,75.9,66,63.6,78.6,0.012,0.012,0.000,0.000,51,51
2022-09-06T16:00,75.1,68,63.9,77.7,0.020,0.020,0.000,0.000,53,75
2022-09-06T17:00,73.7,73,64.7,77.0,0.004,0.004,0.000,0.000,51,12
2022-09-06T18:00,70.0,89,66.8,75.5,0.000,0.000,0.000,0.000,0,9
2022-09-06T19:00,69.0,90,66.1,73.8,0.000,0.000,0.000,0.000,0,17
2022-09-06T20:00,67.0,95,65.3,71.4,0.000,0.000,0.000,0.000,1,25
2022-09-06T21:00,66.9,95,65.4,71.4,0.000,0.000,0.000,0.000,1,47
2022-09-06T22:00,65.2,97,64.2,68.6,0.000,0.000,0.000,0.000,1,27
2022-09-06T23:00,65.0,96,63.9,68.5,0.000,0.000,0.000,0.000,1,30
2022-09-07T00:00,65.1,97,64.1,68.8,0.000,0.000,0.000,0.000,1,45
2022-09-07T01:00,65.2,97,64.3,69.3,0.000,0.000,0.000,0.000,0,6
2022-09-07T02:00,64.3,97,63.5,67.7,0.000,0.000,0.000,0.000,1,36
2022-09-07T03:00,64.9,97,64.0,68.2,0.000,0.000,0.000,0.000,1,47
2022-09-07T04:00,64.6,97,63.6,68.0,0.000,0.000,0.000,0.000,0,14
2022-09-07T05:00,63.4,97,62.5,66.3,0.000,0.000,0.000,0.000,0,0
2022-09-07T06:00,65.2,97,64.3,68.6,0.000,0.000,0.000,0.000,0,0
2022-09-07T07:00,66.3,95,64.9,69.4,0.000,0.000,0.000,0.000,3,100
2022-09-07T08:00,68.3,91,65.4,72.0,0.000,0.000,0.000,0.000,3,95
2022-09-07T09:00,71.3,76,63.2,73.6,0.000,0.000,0.000,0.000,0,6
2022-09-07T10:00,73.7,64,60.9,76.1,0.000,0.000,0.000,0.000,1,31
2022-09-07T11:00,75.1,58,59.5,76.8,0.000,0.000,0.000,0.000,3,100
2022-09-07T12:00,75.9,57,59.4,76.8,0.000,0.000,0.000,0.000,2,51
2022-09-07T13:00,77.8,53,59.1,79.6,0.000,0.000,0.000,0.000,1,38
2022-09-07T14:00,78.7,49,58.1,79.6,0.000,0.000,0.000,0.000,1,48
2022-09-07T15:00,78.7,48,57.6,78.9,0.000,0.000,0.000,0.000,1,41
2022-09-07T16:00,76.5,54,58.5,75.9,0.000,0.000,0.000,0.000,0,1
2022-09-07T17:00,74.0,60,59.2,75.1,0.000,0.000,0.000,0.000,0,0
2022-09-07T18:00,70.6,72,61.0,72.8,0.000,0.000,0.000,0.000,0,0
2022-09-07T19:00,67.7,75,59.3,69.3,0.000,0.000,0.000,0.000,0,0
2022-09-07T20:00,65.2,83,60.0,66.5,0.000,0.000,0.000,0.000,0,0
2022-09-07T21:00,64.1,86,59.8,65.5,0.000,0.000,0.000,0.000,0,0
2022-09-07T22:00,63.4,87,59.5,64.7,0.000,0.000,0.000,0.000,0,0
2022-09-07T23:00,66.1,78,59.2,68.0,0.000,0.000,0.000,0.000,0,12
2022-09-08T00:00,65.9,79,59.0,67.9,0.000,0.000,0.000,0.000,0,4
2022-09-08T01:00,65.5,80,59.0,68.2,0.000,0.000,0.000,0.000,0,4
2022-09-08T02:00,64.8,81,58.9,67.7,0.000,0.000,0.000,0.000,0,0
2022-09-08T03:00,62.5,86,58.2,64.7,0.000,0.000,0.000,0.000,0,0
2022-09-08T04:00,61.6,87,57.8,63.8,0.000,0.000,0.000,0.000,0,0
2022-09-08T05:00,63.6,83,58.4,66.1,0.000,0.000,0.000,0.000,0,0
2022-09-08T06:00,60.4,93,58.5,62.0,0.000,0.000,0.000,0.000,0,0
2022-09-08T07:00,64.4,87,60.4,66.6,0.000,0.000,0.000,0.000,0,0
2022-09-08T08:00,68.5,78,61.5,71.1,0.000,0.000,0.000,0.000,0,0
2022-09-08T09:00,71.7,69,61.0,74.2,0.000,0.000,0.000,0.000,0,0
2022-09-08T10:00,74.4,61,60.3,77.5,0.000,0.000,0.000,0.000,0,0
2022-09-08T11:00,76.4,55,59.2,80.2,0.000,0.000,0.000,0.000,0,0
2022-09-08T12:00,78.1,50,58.2,82.1,0.000,0.000,0.000,0.000,0,0
2022-09-08T13:00,79.3,48,57.8,83.0,0.000,0.000,0.000,0.000,0,0
2022-09-08T14:00,79.7,48,58.0,82.6,0.000,0.000,0.000,0.000,0,0
2022-09-08T15:00,79.6,48,58.0,81.1,0.000,0.000,0.000,0.000,0,0
2022-09-08T16:00,79.0,49,58.4,80.2,0.000,0.000,0.000,0.000,0,0
2022-09-08T17:00,76.9,58,61.2,79.7,0.000,0.000,0.000,0.000,0,0
2022-09-08T18:00,73.2,61,58.9,74.6,0.000,0.000,0.000,0.000,0,0
2022-09-08T19:00,70.0,66,58.0,70.8,0.000,0.000,0.000,0.000,0,0
2022-09-08T20:00,68.8,69,58.0,69.1,0.000,0.000,0.000,0.000,0,0
2022-09-08T21:00,68.1,67,56.9,67.8,0.000,0.000,0.000,0.000,0,0
2022-09-08T22:00,67.3,65,55.0,65.9,0.000,0.000,0.000,0.000,0,0
2022-09-08T23:00,66.4,64,53.9,64.8,0.000,0.000,0.000,0.000,0,0
2022-09-09T00:00,65.3,65,53.2,63.5,0.000,0.000,0.000,0.000,0,0
2022-09-09T01:00,64.2,67,52.8,62.3,0.000,0.000,0.000,0.000,0,0
2022-09-09T02:00,62.5,71,53.1,61.2,0.000,0.000,0.000,0.000,0,0
2022-09-09T03:00,61.0,76,53.5,60.1,0.000,0.000,0.000,0.000,0,0
2022-09-09T04:00,60.0,79,53.6,59.2,0.000,0.000,0.000,0.000,0,0
2022-09-09T05:00,59.2,81,53.4,58.4,0.000,0.000,0.000,0.000,0,0
2022-09-09T06:00,59.9,83,54.9,59.7,0.000,0.000,0.000,0.000,0,0
2022-09-09T07:00,63.6,79,56.9,64.0,0.000,0.000,0.000,0.000,0,0
2022-09-09T08:00,68.3,71,58.6,69.5,0.000,0.000,0.000,0.000,0,0
2022-09-09T09:00,72.5,64,59.7,73.7,0.000,0.000,0.000,0.000,0,0
2022-09-09T10:00,75.4,58,59.4,76.5,0.000,0.000,0.000,0.000,0,0
2022-09-09T11:00,77.2,54,59.5,79.3,0.000,0.000,0.000,0.000,0,0
2022-09-09T12:00,78.8,51,59.2,81.6,0.000,0.000,0.000,0.000,0,0
2022-09-09T13:00,80.0,49,58.9,83.0,0.000,0.000,0.000,0.000,0,0
2022-09-09T14:00,80.7,46,58.0,82.5,0.000,0.000,0.000,0.000,0,0
2022-09-09T15:00,80.6,43,56.1,80.1,0.000,0.000,0.000,0.000,0,0
2022-09-09T16:00,79.6,44,55.8,78.2,0.000,0.000,0.000,0.000,0,0
2022-09-09T17:00,77.7,50,57.8,77.7,0.000,0.000,0.000,0.000,0,0
2022-09-09T18:00,73.2,64,60.1,75.0,0.000,0.000,0.000,0.000,0,0
2022-09-09T19:00,69.7,71,59.8,71.3,0.000,0.000,0.000,0.000,0,2
2022-09-09T20:00,68.8,72,59.6,70.3,0.000,0.000,0.000,0.000,0,0
2022-09-09T21:00,66.3,79,59.7,67.5,0.000,0.000,0.000,0.000,0,0
2022-09-09T22:00,64.8,83,59.4,65.6,0.000,0.000,0.000,0.000,0,0
2022-09-09T23:00,64.1,85,59.4,65.4,0.000,0.000,0.000,0.000,0,0
2022-09-10T00:00,63.2,88,59.5,64.3,0.000,0.000,0.000,0.000,0,0
2022-09-10T01:00,63.6,84,58.9,64.6,0.000,0.000,0.000,0.000,0,0
2022-09-10T02:00,63.4,84,58.6,64.6,0.000,0.000,0.000,0.000,0,0
2022-09-10T03:00,61.4,89,58.0,62.1,0.000,0.000,0.000,0.000,0,0
2022-09-10T04:00,60.2,91,57.7,60.6,0.000,0.000,0.000,0.000,0,0
2022-09-10T05:00,59.8,91,57.2,59.8,0.000,0.000,0.000,0.000,0,0
2022-09-10T06:00,62.7,90,59.8,64.7,0.000,0.000,0.000,0.000,0,5
2022-09-10T07:00,66.6,85,61.9,69.6,0.000,0.000,0.000,0.000,0,0
2022-09-10T08:00,71.5,76,63.5,75.7,0.000,0.000,0.000,0.000,0,6
2022-09-10T09:00,75.4,65,63.0,79.0,0.000,0.000,0.000,0.000,0,1
2022-09-10T10:00,77.9,54,59.9,81.6,0.000,0.000,0.000,0.000,0,19
2022-09-10T11:00,79.4,50,59.2,83.4,0.000,0.000,0.000,0.000,0,0
2022-09-10T12:00,80.5,48,59.1,84.0,0.000,0.000,0.000,0.000,0,0
2022-09-10T13:00,81.1,46,58.1,83.5,0.000,0.000,0.000,0.000,0,0
2022-09-10T14:00,81.4,45,57.8,83.1,0.000,0.000,0.000,0.000,0,0
2022-09-10T15:00,81.2,44,57.5,81.7,0.000,0.000,0.000,0.000,0,2
2022-09-10T16:00,80.7,47,58.5,81.8,0.000,0.000,0.000,0.000,0,8
2022-09-10T17:00,79.7,53,60.8,82.9,0.000,0.000,0.000,0.000,0,12
2022-09-10T18:00,76.4,56,59.3,78.2,0.000,0.000,0.000,0.000,0,3
2022-09-10T19:00,72.8,66,60.7,75.2,0.000,0.000,0.000,0.000,0,1
2022-09-10T20:00,70.5,72,60.9,72.6,0.000,0.000,0.000,0.000,1,31
2022-09-10T21:00,69.1,75,60.7,72.0,0.000,0.000,0.000,0.000,1,35
2022-09-10T22:00,66.3,84,61.3,68.8,0.000,0.000,0.000,0.000,1,27
2022-09-10T23:00,65.0,91,62.3,67.8,0.000,0.000,0.000,0.000,1,30
2022-09-11T00:00,65.4,95,63.8,68.0,0.000,0.000,0.000,0.000,2,64
2022-09-11T01:00,65.8,99,65.4,68.8,0.000,0.000,0.000,0.000,1,25
2022-09-11T02:00,66.2,99,65.9,69.1,0.000,0.000,0.000,0.000,3,100
2022-09-11T03:00,66.9,99,66.5,69.9,0.000,0.000,0.000,0.000,3,100
2022-09-11T04:00,67.3,98,66.8,71.4,0.000,0.000,0.000,0.000,3,100
2022-09-11T05:00,66.0,99,65.6,69.9,0.055,0.055,0.000,0.000,61,100
2022-09-11T06:00,66.1,99,66.0,71.1,0.000,0.000,0.000,0.000,3,100
2022-09-11T07:00,65.7,100,65.6,70.7,0.378,0.378,0.000,0.000,65,100
2022-09-11T08:00,65.6,97,64.8,69.7,0.642,0.642,0.000,0.000,65,100
2022-09-11T09:00,65.6,97,64.7,67.2,0.287,0.287,0.000,0.000,63,100
2022-09-11T10:00,66.6,94,64.8,65.9,0.071,0.071,0.000,0.000,61,100
2022-09-11T11:00,66.5,92,64.0,66.5,0.008,0.008,0.000,0.000,51,100
2022-09-11T12:00,67.5,86,63.3,68.0,0.024,0.024,0.000,0.000,53,100
2022-09-11T13:00,65.6,93,63.5,65.9,0.075,0.075,0.000,0.000,61,100
2022-09-11T14:00,65.8,89,62.5,64.1,0.165,0.165,0.000,0.000,63,87
2022-09-11T15:00,63.2,96,62.1,62.0,0.409,0.409,0.000,0.000,65,100
2022-09-11T16:00,59.2,90,56.2,50.7,0.768,0.768,0.000,0.000,65,100
2022-09-11T17:00,58.5,89,55.2,50.0,0.335,0.335,0.000,0.000,65,100
2022-09-11T18:00,59.2,86,54.9,55.4,0.343,0.343,0.000,0.000,65,95
2022-09-11T19:00,58.1,88,54.6,54.0,0.000,0.000,0.000,0.000,3,100
2022-09-11T20:00,58.0,85,53.4,53.7,0.000,0.000,0.000,0.000,3,100
2022-09-11T21:00,57.7,83,52.5,53.1,0.000,0.000,0.000,0.000,3,100
2022-09-11T22:00,56.2,81,50.4,50.9,0.000,0.000,0.000,0.000,3,94
2022-09-11T23:00,56.1,79,49.7,51.1,0.000,0.000,0.000,0.000,1,36
2022-09-12T00:00,55.8,81,50.1,51.0,0.000,0.000,0.000,0.000,3,100
2022-09-12T01:00,56.8,78,50.1,51.9,0.000,0.000,0.000,0.000,3,100
2022-09-12T02:00,57.1,76,49.5,51.5,0.000,0.000,0.000,0.000,3,100
2022-09-12T03:00,55.9,75,48.2,49.9,0.004,0.004,0.000,0.000,51,100
2022-09-12T04:00,56.4,74,48.3,50.1,0.000,0.000,0.000,0.000,3,89
2022-09-12T05:00,55.6,77,48.4,48.6,0.012,0.012,0.000,0.000,51,100
2022-09-12T06:00,52.8,91,50.1,48.2,0.016,0.016,0.000,0.000,51,100
2022-09-12T07:00,52.9,94,51.1,48.1,0.024,0.024,0.000,0.000,53,100
2022-09-12T08:00,54.4,89,51.2,50.3,0.008,0.008,0.000,0.000,51,100
2022-09-12T09:00,55.6,88,52.0,51.6,0.016,0.016,0.000,0.000,51,100
2022-09-12T10:00,56.1,87,52.2,51.6,0.012,0.012,0.000,0.000,51,100
2022-09-12T11:00,56.8,83,51.6,52.2,0.004,0.004,0.000,0.000,51,100
2022-09-12T12:00,59.0,78,52.3,55.2,0.004,0.004,0.000,0.000,51,100
2022-09-12T13:00,60.7,78,53.8,58.0,0.012,0.012,0.000,0.000,51,100
2022-09-12T14:00,62.2,76,54.5,60.0,0.004,0.004,0.000,0.000,51,99
2022-09-12T15:00,63.7,75,55.8,62.5,0.000,0.000,0.000,0.000,3,86
2022-09-12T16:00,65.4,65,53.2,62.9,0.004,0.004,0.000,0.000,51,12
2022-09-12T17:00,61.9,73,53.0,59.8,0.000,0.000,0.000,0.000,0,0
2022-09-12T18:00,59.9,76,52.3,58.5,0.000,0.000,0.000,0.000,2,74
2022-09-12T19:00,56.4,84,51.7,55.4,0.000,0.000,0.000,0.000,3,96
